run,step,side,T,J,seed,e_per_spin,m_per_spin,window,e_roll_avg,m_roll_avg,w_samples
1,232,10,1.5,1.0,11,-0.288,0.0,200,-0.1488,0.00579,200
1,233,10,1.5,1.0,11,-0.288,-0.002,200,-0.15024,0.00568,200
1,234,10,1.5,1.0,11,-0.288,-0.002,200,-0.15166,0.00558,200
1,235,10,1.5,1.0,11,-0.288,-0.002,200,-0.15308,0.00549,200
1,236,10,1.5,1.0,11,-0.288,-0.002,200,-0.1545,0.00539,200
1,237,10,1.5,1.0,11,-0.288,-0.002,200,-0.15592,0.0053,200
1,238,10,1.5,1.0,11,-0.288,0.0,200,-0.15734,0.00523,200
1,239,10,1.5,1.0,11,-0.292,-0.002,200,-0.15878,0.00515,200
1,240,10,1.5,1.0,11,-0.292,-0.004,200,-0.16022,0.00505,200
1,241,10,1.5,1.0,11,-0.288,-0.006,200,-0.16164,0.00494,200
1,242,10,1.5,1.0,11,-0.288,-0.008,200,-0.16306,0.00482,200
1,243,10,1.5,1.0,11,-0.288,-0.01,200,-0.16448,0.00468,200
1,244,10,1.5,1.0,11,-0.288,-0.008,200,-0.1659,0.00455,200
1,245,10,1.5,1.0,11,-0.288,-0.006,200,-0.16732,0.00443,200
1,246,10,1.5,1.0,11,-0.288,-0.004,200,-0.16874,0.00432,200
1,247,10,1.5,1.0,11,-0.292,-0.002,200,-0.17016,0.00423,200
1,248,10,1.5,1.0,11,-0.292,-0.002,200,-0.17156,0.00415,200
1,249,10,1.5,1.0,11,-0.292,-0.002,200,-0.17296,0.00407,200
1,250,10,1.5,1.0,11,-0.292,-0.002,200,-0.17434,0.00398,200
1,251,10,1.5,1.0,11,-0.292,-0.002,200,-0.17572,0.0039,200
1,252,10,1.5,1.0,11,-0.296,0.0,200,-0.17712,0.00383,200
1,253,10,1.5,1.0,11,-0.3,-0.002,200,-0.17854,0.00374,200
1,254,10,1.5,1.0,11,-0.3,-0.002,200,-0.17994,0.00366,200
1,255,10,1.5,1.0,11,-0.3,0.0,200,-0.18134,0.00359,200
1,256,10,1.5,1.0,11,-0.3,0.002,200,-0.18274,0.00352,200
1,257,10,1.5,1.0,11,-0.3,0.002,200,-0.18414,0.00345,200
1,258,10,1.5,1.0,11,-0.3,0.002,200,-0.1855,0.00337,200
1,259,10,1.5,1.0,11,-0.3,0.002,200,-0.18686,0.00329,200
1,260,10,1.5,1.0,11,-0.304,0.0,200,-0.18824,0.0032,200
1,261,10,1.5,1.0,11,-0.304,0.0,200,-0.18962,0.00312,200
1,262,10,1.5,1.0,11,-0.304,0.002,200,-0.191,0.00306,200
1,263,10,1.5,1.0,11,-0.304,0.002,200,-0.19238,0.00301,200
1,264,10,1.5,1.0,11,-0.304,0.002,200,-0.19376,0.00297,200
1,265,10,1.5,1.0,11,-0.304,0.002,200,-0.19512,0.00294,200
1,266,10,1.5,1.0,11,-0.304,0.002,200,-0.19646,0.00292,200
1,267,10,1.5,1.0,11,-0.304,0.002,200,-0.1978,0.0029,200
1,268,10,1.5,1.0,11,-0.304,0.002,200,-0.19912,0.00289,200
1,269,10,1.5,1.0,11,-0.308,0.004,200,-0.20044,0.00288,200
1,270,10,1.5,1.0,11,-0.308,0.004,200,-0.20176,0.00287,200
1,271,10,1.5,1.0,11,-0.308,0.004,200,-0.20308,0.00286,200
1,272,10,1.5,1.0,11,-0.308,0.006,200,-0.2044,0.00286,200
1,273,10,1.5,1.0,11,-0.308,0.008,200,-0.20572,0.00286,200
1,274,10,1.5,1.0,11,-0.308,0.006,200,-0.20702,0.00286,200
1,275,10,1.5,1.0,11,-0.312,0.008,200,-0.20834,0.00287,200
1,276,10,1.5,1.0,11,-0.32,0.006,200,-0.2097,0.00286,200
1,277,10,1.5,1.0,11,-0.324,0.008,200,-0.21108,0.00286,200
1,278,10,1.5,1.0,11,-0.324,0.01,200,-0.21246,0.00288,200
1,279,10,1.5,1.0,11,-0.324,0.01,200,-0.21384,0.0029,200
1,280,10,1.5,1.0,11,-0.324,0.008,200,-0.21516,0.0029,200
1,281,10,1.5,1.0,11,-0.328,0.006,200,-0.2165,0.0029,200
1,282,10,1.5,1.0,11,-0.328,0.006,200,-0.21784,0.0029,200
1,283,10,1.5,1.0,11,-0.328,0.006,200,-0.21918,0.0029,200
1,284,10,1.5,1.0,11,-0.328,0.006,200,-0.2205,0.00291,200
1,285,10,1.5,1.0,11,-0.328,0.004,200,-0.22182,0.0029,200
1,286,10,1.5,1.0,11,-0.328,0.002,200,-0.22314,0.00288,200
