run,step,side,T,J,seed,e_per_spin,m_per_spin
1,509,10,1.5,1.0,11,-0.632,-0.018
1,510,10,1.5,1.0,11,-0.64,-0.016
1,511,10,1.5,1.0,11,-0.64,-0.016
1,512,10,1.5,1.0,11,-0.64,-0.018
1,513,10,1.5,1.0,11,-0.64,-0.018
1,514,10,1.5,1.0,11,-0.64,-0.018
1,515,10,1.5,1.0,11,-0.64,-0.018
1,516,10,1.5,1.0,11,-0.64,-0.018
1,517,10,1.5,1.0,11,-0.64,-0.018
1,518,10,1.5,1.0,11,-0.648,-0.016
1,519,10,1.5,1.0,11,-0.648,-0.016
1,520,10,1.5,1.0,11,-0.652,-0.018
1,521,10,1.5,1.0,11,-0.652,-0.018
1,522,10,1.5,1.0,11,-0.652,-0.018
1,523,10,1.5,1.0,11,-0.652,-0.016
1,524,10,1.5,1.0,11,-0.652,-0.016
1,525,10,1.5,1.0,11,-0.652,-0.016
1,526,10,1.5,1.0,11,-0.652,-0.016
1,527,10,1.5,1.0,11,-0.652,-0.014
1,528,10,1.5,1.0,11,-0.652,-0.016
1,529,10,1.5,1.0,11,-0.648,-0.014
1,530,10,1.5,1.0,11,-0.648,-0.014
1,531,10,1.5,1.0,11,-0.652,-0.016
1,532,10,1.5,1.0,11,-0.652,-0.016
1,533,10,1.5,1.0,11,-0.652,-0.016
1,534,10,1.5,1.0,11,-0.652,-0.016
1,535,10,1.5,1.0,11,-0.652,-0.016
1,536,10,1.5,1.0,11,-0.652,-0.016
1,537,10,1.5,1.0,11,-0.66,-0.014
1,538,10,1.5,1.0,11,-0.66,-0.014
1,539,10,1.5,1.0,11,-0.66,-0.016
1,540,10,1.5,1.0,11,-0.66,-0.016
1,541,10,1.5,1.0,11,-0.66,-0.016
1,542,10,1.5,1.0,11,-0.668,-0.014
1,543,10,1.5,1.0,11,-0.668,-0.014
1,544,10,1.5,1.0,11,-0.668,-0.012
1,545,10,1.5,1.0,11,-0.668,-0.012
1,546,10,1.5,1.0,11,-0.668,-0.014
1,547,10,1.5,1.0,11,-0.676,-0.012
1,548,10,1.5,1.0,11,-0.676,-0.012
